,x,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15
rss,3.459967080795413,3.4523709249026946,1.5861582741487954,1.584179919081693,1.4968814159399846,1.4873108159063806,1.4872800224408738,1.4870455800556424,1.4798326217565234,1.4667064804121628,1.3909843104260808,1.3865824835901532,1.3737455784217703,1.2816231374015548,1.2764988935491026
intercept,1.9214669286966246,1.9919771762960123,-0.783124559263584,-1.0134238595624645,2.91541410945353,-0.44165349261956804,-0.9350147605062349,-4.475103252334178,-55.732038109805714,125.4809144776877,-1020.033245889214,-289.81048998947387,3023.4160566795267,-20684.281951025165,-5669.936027189752
coef1,-0.618790678791358,-0.6722852172343546,2.6767548771733143,3.0567225528714705,-5.151074817869034,3.329544735454381,4.790837388214869,16.81491720455111,213.13893625343695,-559.3452796930533,4818.255867133051,1075.8365456265763,-17327.279133270025,124506.83370069822,28272.41733756119
coef2,,0.008609582246584391,-1.1771101178033523,-1.3901111711835163,4.950105665250942,-3.4165881558128506,-5.172518926250286,-22.211602627966407,-342.73433826740734,1084.8685877351356,-10010.689133527858,-1484.7269694537852,44388.71862215843,-339518.93094887666,-58490.88373608849
coef3,,,0.12722234924790127,0.17610010389449746,-2.1070927486650977,2.039017201221373,3.1518667432721603,16.3339869217707,309.457614169105,-1198.0828979699934,12092.244494796,669.4218004066637,-67303.52560713737,556025.4634029863,59907.713820917495
coef4,,,,-0.003933271142311703,0.38303445489448446,-0.712002601980015,-1.1153260288051121,-7.221054762716797,-173.0080334004457,835.7020281783776,-9442.918077112296,588.3589780181916,67425.35944194117,-611119.4172688028,-18778.542321628607
coef5,,,,,-0.024911929786161156,0.1221372931107293,0.20608949418099262,1.945242641108685,62.21805317531565,-385.3841875566478,5010.711867790256,-1078.270528637662,-47167.2072946987,477032.735204508,-29869.893339213042
coef6,,,,,,-0.00788885753995388,-0.01722152496589023,-0.31567587284104387,-14.435038259160711,119.20736076441035,-1845.808715749205,776.6963447240678,23727.461190624283,-272857.5293217862,48525.20121417718
coef7,,,,,,,0.00042915124807851824,0.028730239185503194,2.0889110150779797,-24.4735864926445,472.64591939959973,-335.86136112550145,-8700.437434079233,116246.45008818316,-37577.51650660151
coef8,,,,,,,,-0.0011387169202571657,-0.17144711087953804,3.198594068637325,-82.5592404564297,94.74762769865966,2328.2911165149617,-37091.916075702786,18987.41373950896
coef9,,,,,,,,,0.006091106235649854,-0.24082557451208458,9.381857541573298,-17.627670160945065,-449.66816530632184,8827.344717509704,-6757.062174535283
coef10,,,,,,,,,,0.007947912190395355,-0.6250939204680537,2.091246215427054,60.99918082335262,-1543.5580819132979,1733.3779486099409
coef11,,,,,,,,,,,0.0185243234269524,-0.1436133834599427,-5.5107928745579375,192.4584272977097,-319.9444086555804
coef12,,,,,,,,,,,,0.004349160262104639,0.2975387410592768,-16.1881417163541,41.53374643989734
coef13,,,,,,,,,,,,,-0.00725951843163576,0.822864280300072,-3.6029363373514447
coef14,,,,,,,,,,,,,,-0.01908611285114036,0.18760481218066064
coef15,,,,,,,,,,,,,,,-0.004435398661896104
